"stat_date","total_transactions","total_fraud","total_legitimate","true_positives","false_positives","false_negatives","true_negatives","fraud_capture_rate","false_positive_rate","auto_block_count","review_queue_count","auto_approve_count","in_queue_count","pending_count","in_review_count","total_amount","avg_amount","blocked_amount"
2013-09-01,144786,281,144505,281,0,0,144505,1,0,281,64856,19983,64856,645,651,13093975.05,90.436748,33239.11
2013-09-02,140021,211,139810,211,0,0,139810,1,0,211,62656,19420,62656,654,595,12068614.96,86.191464,26888.86
